學年度,設立別,學校類別,學校統計處代碼,學校名稱,當學年度全校總量內核定新生招生名額(A),當學年度全校新生保留入學資格人數(B),當學年度全校總量內新生招生核定名額之實際註冊人數(C),當學年度全校境外(新生)學生實際註冊人數（D）全校境外(新生)學生實際註冊人數(D)(107學年度新增),當學年度全校新生註冊率,全校招生特色說明
106,私立,技專校院,1032,明新學校財團法人明新科技大學,3733,0,2594,...,69.49,1.強化行政效能建構學習組織 2.落實全人教育厚植核心職能 3.打造優質校園體現綠色環保 4.深化語言能力增益國際視野 5.強化產學鏈結縮短學用落差 6.精進教學品質確保學習成效
106,私立,一般大學,1033,長榮大學,3026,0,2008,...,66.36,辦學理念：  長榮大學之擘劃設立，乃沿襲臺灣基督長老教會之歷史傳統暨文化特色，承續英國宣教師敬虔上主、啟迪智慧，渡台興學傳道之精神，竭志弘揚真道，恪遵　基督耶穌公義、博愛、救世愛人之教訓，崇尚民主自由學風，恢宏創意思考，拓展國際視野，致力全人永續教育，美化身、心、靈，肯定生命尊嚴與價值。  教育宗旨：  長榮大學之創設，秉持基督耶穌救世愛人之精神，旨在造就負有「虔誠、勤奮、榮譽、服務」之博學宏才，胸懷國家、貢獻社會、服務人群，務期實踐辦學之異象與使命。  教育目標：  建立自由、民主、多元 、開放學風的校園，揭櫫「終身教育」的理念，培育能學問思辨、適應創新、卓越領導、前瞻宏觀，並著重「管理科學」、「健康科學」與「人文社會」、「資訊工程」、「宗教研修」素養之優秀青年，期使他們成為兼具博愛、公義、服務與奉獻精神之高級知識份子和現代化公民。
106,私立,技專校院,1034,弘光科技大學,3543,0,3253,...,91.81,本校秉持「以人為本、關懷生命」的辦學理念，下設護理系所(含博士班)、護理科、學士後護理系、生科系所、物治系、營養系暨營醫所、語聽系、動保學程、應英系、文創系、老福系所、運休系、食科系所、幼保系、妝品系所、美髮系、健康系所、資管系、餐旅系、環安系所暨職安所、醫工系及資工系暨智慧型輔助科技所。校務整體發展及辦學績效優異，深獲各界肯定，包括：連續12年獲教育部獎勵教學卓越計畫，累計獎勵金額逾5億4700萬元；102年度起獲「教育部補助發展典範科技大學計畫」成立典範產學研發總中心，為中部地區私立科大唯一獲經費補助之學校；103年度通過科技校院「認可制」校務評鑑，系所自我評鑑結果亦獲教育部全數「認定」之殊榮，為全國9所科大率先通過系所評鑑免評學校之一。本校現階段已成為全國科技大學醫護及民生實務人才培育及技術研發之重點學府，未來我們將朝向「亞太地區健康與民生領域的領航科技大學」之目標邁進。
106,私立,一般大學,1035,中國醫藥大學,1753,2,1568,...,89.55,大學部招生特色說明：一、以本校校訓「仁慎勤廉」為培育人才之最高原則二、培養兼具科學能力及人文關懷素養之醫事人才三、配合多元入學之機制，落實公平公正平衡城鄉及適性選才之功能四、「適性選才」及「適才培育」五、促進發展各系自我特色六、保障弱勢學生教育機會。  研究所招生特色說明：一、彈性招生 (一)每位考生可跨院報名3個系所，提供學生多元選擇興趣 及研修領域 (二)系所不分組招生(教學分組) 二、鼓勵優秀大學部學生上修碩士班課程，於正式進入碩 士班後，可抵免部份課程學分，縮短修業年限三、逕讀博士班 (一)以學生正向學習態度為口試甄選之要項 (二)鼓勵本校優秀學生一貫修讀學、碩、博士學位，縮短 修業年限四、增強研究生獎助學金。
106,私立,技專校院,1036,健行學校財團法人健行科技大學,3417,2,2678,...,78.42,創校以來，配合國家整體產業環境及技職教育目標，不斷充實設備，延攬國內外優秀人才到校執教，全面提昇教學品質與導入實務課程，積極進行產學合作與國際交流，希望透過實務課程及專業能力落實，強化學生專業技術競爭力，並輔以服務學習、企業倫理與自然人文並重的通識課程等，使本校學生在校能好學有禮，畢業能充分就業，並養成自我反思、自我提升與終身學習的特質，將學生的永續發展列為最終目的。連續四年皆獲教育部遴選為教學卓越大學。學生大四進入企業實習，合作廠商包含：神通資訊、崧旭資訊、新日光能源科技、春源鋼鐵、王品集團、古華飯店、永豐銀行、聯邦銀行、富邦金、采盟、永儲、新竹物流等，讓學生提早取得就業門票。規劃完善的深造與就業輔導措施，在就學期間，分別透過生涯興趣量表測驗、學習地圖、就業地圖、生涯檢核書、企業參觀、職場導覽、校園徵才、學生學習歷程檔案系統、職涯輔導種子教師等機制，協助學生掌握未來的發展方向。
106,私立,技專校院,1037,正修學校財團法人正修科技大學,5387,8,4710,...,87.56,1.教學品質保證：101-105年度獲教育部『典範科技大學』之肯定；連續12年獲教學卓越大學獎勵，另被評比為產學合作頂標學校且科大評鑑成績超越國立科大。 2.學制設置完整：設博、碩士(在職)班、日四技、五專(土木及建築科)，進修部二專、二技、產學訓、產學攜手、雙軌旗艦與產學碩士等具實務導向專班，提供升學與就業機會。 3.招生管道多元：提供技職繁星入學、高中申請入學及技優甄審、甄選入學、運動績優單招、聯合登記分發及四技進修學制單獨招生等多元入學。 4.落實技職特色：每年邀請近千位產業界專業人士協同授課與產業實質接軌；更連續22年獲頒產學合作績優獎，全面提升學生實務力與就業競爭力。 5.優渥獎助學金：訂定研究生、四技新生、運動績優等入學獎勵辦法，入學後提供各類獎學金、助學金及工讀機會。
106,私立,技專校院,1038,萬能學校財團法人萬能科技大學,3646,7,3145,...,86.42,1航空城大學 全國唯一：離桃園機場最近的科大，享有航空產業合作資源。2教學卓越 國際認證：教育部肯定教學卓越大學，榮獲IEET國際認證。3雇主最愛 桃園首選：106年1111人力銀行雇主滿意度調查，桃園中壢區第一。4實習就業 全國第一：大四全面實習，與就業無縫接軌。5科大大學部 國際化第一：105學年度大學部外籍學生逾300人，全國科大第一。6菁英百萬 就業百萬：除國立收費外，另有菁英獎助學金40萬，加上實習給薪，在學期間收入百萬。7航空餐旅 全國最大：觀光餐旅暨管理學院人數達7500人，跨2種以上專業領域學習，提昇國際就業競爭力。8設計時尚 國際發光：師生榮獲教育部技職之光，國際iF、Red Dot設計大獎，引領國際設計流行時尚。9航空工程 快速起飛：與航空界龍頭華航、長榮、漢翔、亞航…產學策略聯盟，接軌波音、空中巴士等國際大廠。10三鐵一港 交通便捷：高鐵、台鐵、捷運與機場便利交通網。
106,私立,一般大學,1039,玄奘大學,1735,0,832,...,47.95,玄奘大學是由佛教界集資興建的高等教育學府，民國86年3月25日奉教育部核准成立，並於86學年度開始招生。93學年度獲教育部正式核定升格大學，配合增設系所及學院系所調整，分別設立社會科學院、傳播學院、國際餐旅暨管理學院及設計學院，建構完整的大學學院組織架構。本校獲得教育部教學卓越計畫補助，在大學校務評鑑，獲高等教育評鑑中心五個項目全數認可通過，未來將持續深耕成為教學卓越大學。本校的設校宗旨為：研究學術、培育人才、傳授知識，並以正知正見闡揚真理，淨化人心，服務社會，促進國家發展。為德業陶冶、悲智本懷、勤奮自發、堅毅自強等精神，訂定德智勤毅為校訓。因此，本校秉持效法玄奘堅毅精神，開創承先啟後的生命無限價值；透過全人教育，以期能透過專業學院一通識教育，由專業發展、個人自主、社會關懷、職涯發展幾個面向，培育兼具專業職能，自主與務實、人文與社會關懷、多元文化視野的玄奘人。
106,私立,技專校院,1040,建國科技大學,3131,0,1884,...,60.17,1.教室、實驗室、辦公室、學生宿舍全面空調化，圖書館資訊化。 2.工程學院全面通過技術教育認證(TAC)；設計學院全面通過設計教育認證(DAC)。 3.連續9年榮獲教育部教學卓越計畫三億三仟萬元獎助。 4.與上銀科技、漢翔航空、鴻海科技、全興工業、九族文化村、宏全國際、統一渡假村、福泰商務飯店、永豐棧酒店、曼都國際、媚登峰國際、泰金寶科技（海外）公司等數十餘所大型企業簽訂產學合作，提供學生實習及就業機會。 5.重視創研發，榮獲美國、德國、瑞士、法國、俄羅斯、義大利、烏克蘭、日本、韓國、馬來西亞、台北等國際發明展奪得300金239銀107銅136特別獎等獎項。 6.訂有學生基本能力畢業門檻及相關輔導措施，提升學生之就業競爭力。 7.與國內67所高中職結合成策略聯盟合作關係，共享教育資源。 8.重視大學國際化與美、日、俄、中、土、泰、德、捷、韓、菲、蒙、馬、烏、印度、印尼等15個國家216所大學簽訂合作協議。
106,私立,技專校院,1041,明志科技大學,1286,14,1072,...,84.28,本校設有工程學院（機械工程系、電機工程系、電子工程系）、環境資源學院（化學工程系、材料工程系、環境與安全衛生工程系）、管理暨設計學院（工業工程與管理系、經營管理系、工業設計系、視覺傳達設計系），十系均設置碩士班、化工系另設生化工程碩士班，共11 個碩士班，105 學年起設立能源電池科技博士學位學程，培育綠色能源研發人才。本校實施全體住校，綠地廣闊、景緻優美，成立約50 個學生社團，校園生活活潑豐富，讀書風氣盛。本校並實施全薪工讀實習制度，與約200家中大型企業合作，大三學生均須在國內外企業實習一年，畢業後即具備完整的實戰工作經驗，與就業市場無縫接軌。秉承創辦人王永慶先生「辦最好大學」的理念，人才培育上，本校自創校起即以著重勤勞樸實態度養成，實施全體住校、書院輔導、工讀實務實習等制度，加強專業知能培訓、充實通識教育及服務學習涵養，推動身心靈均衡發展的全人教育，培養畢業生成為「產業最愛人才」。
106,私立,技專校院,1042,高苑科技大學,2502,0,1280,...,51.16,區位優勢1.為一所座落在高雄科學園區內的產業型科技大學2.校內設有自然史教育館(博物館)的科技大學　辦學績優　1.榮獲教育部獎助102至106年度教學卓越計畫共計2億5百萬元　2.榮獲教育部獎助二期技職再造計畫共1億元　3.全部系所高分通過教育部校務評鑑4.推動三創課程-推創意、創新、創業，每年師生都會參加國際發明競賽，將專利發明列為創新導向的教育目標，鼓勵師生將研究成果專利化，提高產業應用價值，提升學校能見度5設有入學即就業的產業學院6.高苑科技大學師生在國際發明展中，勇奪將近600面金、銀、銅牌與特別獎7.每位畢業生均取得兩證(畢業證書、就業競爭力證書)三照(專業證照、資訊證照、語言證照)，就業競爭力百分百8.無國界工作圈的趨勢，讓學生早一步接受全球化人才培育的洗禮，推動「海外學實習計劃」，送學生到海外實習。
106,私立,技專校院,1043,大仁科技大學,2620,1,1925,...,73.50,本校創校52年，以藥學起家，為因應產業發展趨勢，積極調整專業系科之發展，目前設有藥學暨健康學院、休閒暨餐旅學院、智慧生活暨管理學院以及人文暨社會學院共4個學院，包括1個研究所、4個碩士班、18個系與學程，系科專業類別多元，目前全校學生約七千人。本校結合國家產業人才需求以及學校發展特色，以『橘色關懷、綠色永續』之主軸，秉持「務實致用」和「創新精進」的精神，實踐本校成為「創新實務型大學」之目標。本校104-106學年度新生入學人數未受少子化影響，註冊率逆勢成長。2013-2016在世界國際發明展，勇奪42金64銀52銅及11項特別獎並獲得129項專利。全校各系皆開設校外實習課程，建教實習合作廠商超過700家，畢業生就業率達90%以上。本校更獲頒專業證照推動獎，一年平均考取3000張各類證照，每年並開辦各類就業學程、產業學院課程，以學生為本，提升學生就業競爭力，學習、實習、就業、創業一條龍，畢業沒煩惱。幸福已經發生，選擇從大仁開始。
106,私立,技專校院,1044,聖約翰科技大學,1088,1,682,...,62.74,本校提供多元的入學管道，四技日間部設有【工程學院】、【商管學院】、【民生與設計學院】3學院17系6個研究所，並配合產業需要招收雙軌旗艦班，未來更規劃與業界攜手合作之產學專班。培育德才兼備具整合與實作能力的人才。五專部，則提供五專學生學習專業技能的最佳求學環境，亦有多元的選擇與適性發展的類科；設有【工業工程與管理科】、【電子資訊科】、【電機工程科】、【應用英語科】、【車輛工程科】等不同的專業領域，運用大學教育資源、培育具創意思考、學用合一及務實致用的專科人才。境外生則可選擇二技日間部境外生專班或四技日間部，提供客製化課程及臺灣深度文化課程，讓境外生與本國籍學生進行交流。
106,私立,技專校院,1045,嶺東科技大學,2725,0,2516,...,92.33,本校自創校之初，即以「學以致用、誠以待人」為校訓；106學年度，衡酌國際潮流及社會發展趨勢，更提出了「專業優質、穩健成長、精緻規劃、特色創新」為辦學理念，作為本校重要的發展方向。除繼續秉持創辦人辦學的基本理念外，更期盼以前瞻的視野與胸懷，培育具有全人素養、專業知能、資訊運用及國際視野的優質人才。在今日世界各國宛若地球村的年代裡，本校將持續秉持穩健發展、追求卓越的精神，期許自我成為一所教學卓越的專業應用型大學，並成為臺灣技職教育的特色學府。
106,私立,技專校院,1046,中國科技大學,3870,5,2744,...,71,畢業生企業愛用：102年Cheers雜誌企業愛用排名，私技職校院第5，103年遠見雜誌調查第4。教育部104年公告全國99學年度畢業生就業率，15系中12系高於全國平均。產學創新績優：具實務經驗或證照專任教師佔88%、兼任85%，後者專業比列全國第1。與183家企業夥伴實質聯盟。獲部會學生創業競賽獎累積高達441萬。105年獲「大專校院試辦創新計畫」獎130萬。卓越教學豐碩：連續12年「教學卓越計畫」，以自評結果申請免受教育部評鑑。103年獲「通識教育績優獎」。師生屢獲IF、紅點國內外競賽大獎。學生進行國際兩岸研習與實習活絡，美國MSU雙聯學位助學生圓夢。專業特色--規設院：從營造、空間、平面到互動影音，栽培全方位設計人才。商院：多國籍企業與商業4.0、金融服務與資產管理、大陸經貿與跨境電商。管院：精實服務管理、數位行銷管理、觀光餐旅與遊憩管理。資院：App檢測與開發、大數據智慧商務、物聯網應用與安全檢測。
106,私立,技專校院,1047,中臺科技大學,2881,0,2266,...,78.65,本校以培育社會所需具有「技術專業、人文關懷」之健康產業專業人才為辦學理念。本校設有醫學檢驗生物技術系(碩士班)、醫學影像暨放射科學系(博、碩士班)、醫療暨健康產業管理系(碩士班)、牙體技術暨材料系(碩士班)、護理系(碩士班)、食品科技系(碩士班)、兒童教育暨事業經營系、行銷管理系、資訊管理系、應用外語系、環境與安全衛生工程系(碩士班)、國際企業系、老人照顧系、視光系、生物科技暨醫學工程研究所、文教事業經營研究所與長期照顧碩士學位學程，共計14系2獨立研究所1學位學程。102年5月出刊之「大學社會新鮮人就業率大調查」中指出在 147所大學校院中，本校位居前34名。另遠見雜誌於102年6月「大學社會新鮮人就業率大調查」中，本校居領先群為十大新名牌大學之一。本校今已邁入51週年，積極展現和形塑「教學卓越、產學共榮、醫護主軸」之特色，為追求兼重人才培育與產學合作之專業型優質科技大學。
106,私立,一般大學,1048,亞洲大學,3278,1,2970,...,90.63,本校共有醫學暨健康學院、資訊電機學院、管理學院、人文社會學院及創意設計學院，本著校訓健康、關懷、創新、卓越之校訓，以培育醫學健康、資訊電機、管理、人文社會及創意設計領域之專業人才為目標，並與中國醫藥大學聯合為「中亞聯大」教學系統，更設有「虛擬學院」，學生可進入一校即享有兩校資源，另有邀請日本建築大師所打造之亞洲現代美術館清水模建築，於學習及生活中潛移默化的陶冶學生美的教育，亞洲大學附屬醫院於105年8月啟用，提供學生更近、更優良的實習場域，更安排有「曼陀師」等三師照顧學生，讓求學生活更加美麗。
106,私立,一般大學,1049,開南大學,2358,0,1323,...,56.11,一、開南大學設有商學院、觀光運輸學院、資訊學院、人文社會學院、健康照護管理學院等五大學院。  二、擁有緊鄰國際機場的優勢，培養具有國際前瞻性的觀光餐旅、物流及空運人才，並為順應資訊、網路為主軸的時代來臨，培養資傳、資管及多媒體專業資訊人才。  三、為建立開南人隨時掌握全球資訊、吸收新知，本校設有樂活中心、大數據生活智慧館、語言教室、紐約館、無線上網、4K影視後製中心等，提升全校師生在ｅ世代競爭環境應具備的國際化設備。  四、本校強調國際化人才的培育，推動全英語教學的商學院國際榮譽學程，並建構英語化的學習生活環境，開南人等同於優質的世界公民，學習英語就在開南。  五、一流專業師資，重視教學品質，本校91.12%博士級師資比率領先全國(助理教授級以上師資佔94.38%)。  六、本校設有新生入學獎助學金以栽培優秀學子。  七、以上說明如有未盡事宜，悉依本校學則及相關法令規定辦理。
106,私立,一般大學,1050,佛光大學,1246,2,994,...,79.90,本校位於宜蘭縣礁溪鄉，自民國82年開始籌設，其間歷經7年的環境影響評估及校區雜項工程施工，投入10餘億資金及無數人力物力，於89年7月正式招生。本校係一所社會性、綜合性的大學，不僅重視學生的專業能力，更在乎全人的發展。開辦之初，先獲准招收研究所，後再陸續開設學士班，其目的是以「碩、博士班」為基石，穩固教師質量及教學品質，並以研究所的先修理念規劃學士班的課程，期許同學可以具備成熟的人格特質和基本的學術研究能力。本校現有5個學院、15個學系及1個獨立研究所，學制含括學士班、碩士班、碩士在職專班及博士班，本校除榮獲教育部教學卓越大學，大學校院通識教育暨第二週期系所評鑑亦全數通過，並以發展精緻教學型大學為目標，積極鼓勵教師精進研究、激勵學生學習動機及提升學習成效、促進生涯與職涯發展，同時提升研究特色品質與增強國際化程度，以追求永續發展邁向卓越。
106,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,3494,3,2901,...,83.10,1.教學卓越：教學優良榮獲教育部獎勵2013-2017年度教學卓越計畫，5年共計1.5億。 2.評鑒優良：「2012學年度科技大學評鑒」全國第一，行政類及22系所榮獲一等。 3.競賽獲獎：連續七年獲得新一代金點新秀設計競賽入圍獎數最多的大學。 4.文創領航：以文化創意融入教學，學風自由活潑，重視創意發想。 5.多元價值：德、智、體、群、美、技六育並重，強調服務學習，培養體魄品德。 6.務實致用：強調實務學習，就業導向教學，與職場工作無縫接軌。 7.國際視野：全面推動雙語溝通能力，營造國際化學習環境，促進學生國際交流。
106,私立,技專校院,1052,遠東科技大學,2650,0,1493,...,56.34,"本校於民國89年開始進行創造力教育，並以創意實踐(I：Innovation)、人格教育(D：Discipline)、卓越教學(E：Excellence Teaching)、產學聯盟(A：Alliance)與關懷學生(L：Love)之IDEAL100為本校發展理念。檢視過去幾十年來執行成效，不論是在各種制度建置、教學環境改善、學生學習成效改善、學生就業能力提升等方面，皆有大幅的進步。其中，在創意教學部分：培養學生「想得到」能力，師生專利申請件數已超過4,380件，連續14年全國大學第一。在創新研發部分：培養學生「做得出」能力，國際發明展獲獎獎牌已超過589面，其中金牌超過189面，全國大學第一。在創業育成部分：培養學生產品「賣得掉」能力，創業競賽名揚國際，至目前累積之競賽獎金已超過3,215萬元，全國科技大學第一。綜上所述，本校已儼然成為國內三創教育的標竿大學。"
106,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,2500,0,1841,...,73.64,本校發展定位為「iBEST」，以「創新、整合、智慧」的執行策略達成「產學標竿」、「教學卓越」、「學校永續」、「特色專業」的目標，以「醫事科技」、「健康管理」、「福祉產業」發展為具生醫健康特色的實務教學大學。本校18亮點：企業最愛大學；生醫健康產業相關系所最齊全的科大；醫療院所及廠商簽署策略聯盟最多的科大；全國推動生醫相關產業海外研習成效最高的大學；全球唯二影像醫學大學博物館；全台唯一建置cGMP模擬藥廠之科大；全台唯一通過IRB驗證的科大；中北部唯一建置醫學臨床技能OSCE之科大；創櫃板生醫健康類專業推薦單位；全台第一所通過WHO國際安全學校最高等級認證的醫事科大；技轉商品化與學生創新創業成長快速的科大；半年內有2位邦交國元首到訪的大學；唯一開設磨課師課程並跨國上架的科大；全台與地方政府合作健康城市最多的大學；畢業生就業率一年內90%；全校師生均通過CPR與健康管理的大學；全校必修「實習」與「五創」的大學；全校各系設置職涯導師的科大。
106,私立,技專校院,1054,景文科技大學,2258,2,1740,...,77.13,1.本校共計14學系、4組、1學位學程，四個學院1.觀光餐旅學院2.商管學院3.人文暨設計學院4.電資學院，是教育部獎勵的「教學卓越計畫」大學。 2.本校特別注重產學雙向交流，強化產學合作教學，積極推動學生校外實習與海外實習，與14國53校（單位）海外合作學校簽訂合約，就學國際化。為培養學生具就業競爭力，成立學生職涯發展中心，規劃一系列之輔導課程與活動，以達畢業即就業之辦學宗旨。 3.建構外語教學環境，強化學生外語能力，推動國際交流與師生互訪。 4.本校教師多具有實務經驗，符合科技大學之教育政策。教育部2014年首次辦理之科技大學認可制評鑑，本校校務類、專業類系所全數通過。 5.本校日間部學雜費為國內所有私立科技大學及技術學院中收費最低，在公益董事會之督導下，一切學校收入用在教學研究。 6.2015年與2016年遠見雜誌企業最愛調查本校蟬聯觀光/餐飲/休閒領域全國第二名。
106,私立,技專校院,1055,中華醫事科技大學,3108,0,2308,...,74.26,辦學特色：中華醫大以培育醫事健康科技人才為辦學特色，深受各界肯定，有高達15個系科註冊率超過九成及近九成，護理、醫學檢驗生物技術、視光等系科的註冊率更達100%。近年來技職教育大翻轉，引發高中生爭相搶讀科技大學，華醫今年高中生申請入學踴躍，開放176個名額吸引2千多位高中生報名，錄取率平均只有5%，報名的高中生中，不乏學測60級分以上的優秀學子，平均45級分以上，有一名65級分考生就以醫學檢驗生物技術系為目標，高中生瘋技職可見一斑。本校重視實務教學、合作單位超過200家，畢業生在醫檢師、護理師、營養師、食品技師、驗光師、語療師等國家考試中，及格率屢創新高。安全衛生管理師、醫管師、電腦資訊、疾病分類師、中餐烹飪、西點烘焙、檢驗分析、保育員、保母、美容師等證照技能檢定及、ACA、MOS、MTA、MCAS、MCITP等Certiport系列國際證照亦捷報頻傳。
106,私立,技專校院,1056,東南科技大學,1968,4,1308,...,66.60,1.發展以就業為導向的新學習模式：重視實務課程、推動專業實務實習、開設產學訓用整合學程，保證就業、保證高薪。 2.建立教學品保系統、重視學生學習成效：建置完整的課程地圖及學生學習歷程檔案，輔導學生考取稀少性、關鍵性、國家級、國際級技術證照；積極參與國際教育認證並與國際接軌。 3.關注、關心、關懷與關照的全方位學生輔導：關注學生學習適應；關心學生課業與就業發展；關懷學生學習環境；關照學生身心靈健康。 4.全人教育的培育：重視學生品德教育，透過博雅課程、社會參與式服務學習以及社團活動，建立學生正向思維，養成正確價值觀與處事態度。
106,私立,技專校院,1057,德明財經科技大學,2383,5,1660,...,69.81,1.本校1965年創校，2007年改名科技大學，為國內第一所財經科技大學，本校秉持「篤信好學」之校訓，培育財金、商管及資訊專長之學生。2.獲教育部獎勵大學教學卓越計畫，提升本校教學成果與績效。3.本校財金學院與管理學院有最完整的商業類系，可滿足學生的興趣與選擇。4.各系全力推動就業學程、產學合作及校外專業實習，並鼓勵學生取得證照，落實就業接軌。5.致力品格教育，推動服務學習、學程化課程設計，並拓展國際交流、加強學生外語能力，增進學生國際觀，提升就業競爭力。6.2017年獲「企業最愛大學生」私校財金學群第二名。7.2016年獲「企業最愛畢業生」商業類私校科大第二名。8.2016年獲教育部北區技專校院教學資源中心「教學提升計畫」特優。9.教育部認可制評鑑，本校均獲「通過」之最優成績。10.三度榮獲「年度品格教育特色學校」。11.與美國明尼蘇達州曼徹普立敦大學、日本星城大學簽訂大學雙聯學位。
106,私立,一般大學,1058,明道學校財團法人明道大學,1676,7,876,...,52.49,1.校園環境優美:42公頃校園規劃完善，湖水綠意書院式建築，教學、休憩、運動各區機能完善，建構有機生態及永續能源的示範校園。2.全面實務實習:明道大學定位為產學型大學，強調創新、創業、永續、人文，是唯一推動全面實習的大學，3年在校學習、1年企業實習，嚴選實習企業，紮實學生產業工作經驗，畢業即就業。3.校園國際化:境外生比例近11.86%，與美加日韓中等多國大學合作，為CONAHEC、SQA國際交換學生組織成員，設置溫哥華、英國、香港、上海、泰國、馬來西亞等六個海外辦事處，協助全球留學業務及開拓優質留學專案。4.多項入學獎學金:提供多項獎助學金及助學照顧措施：菁英獎學金(學雜費、住宿費全免)等多項入學獎助學金。結合企業資源，提供5年3000萬助學金，幫助經濟弱勢學生安心就學。5.生活機能完善:獨立衛浴套房的學生宿舍，活動中心提供溫水游泳池、健身房等設施，多家客運進入校園，生活機能健全豐富。
106,私立,技專校院,1060,南開科技大學,1775,0,1102,...,62.08,(一)獎助學金優渥：提供約三千萬元之新生入學獎學金。 (二)辦學績效卓越：本校連續十一年獲教育部教學卓越大學獎勵，中部私立科大第一。 (三)交通路線便捷：本校距台中火車站約30分鐘車程，並提供中彰投縣市十餘條便捷之專車路線，此外台中市108路公車更以本校為起迄站，可直通台中火車站及一中街商圈。 (四)學習環境優質：校園建置高速光纖及無線網路與全e化冷氣教室，透過教師自行設計的數位教材進行生動活潑的互動式教學。 (五)生活設施完善：校園內設置全家便利商店、美食餐廳、書局及新穎的冷氣網路套房式宿舍。
106,私立,技專校院,1061,中華學校財團法人中華科技大學,2296,16,1481,...,64.96,本校定位為實務教學型科技大學，秉持「誠正法新」校訓，配合國家建設及產業之需求，培育科技與人文兼備之專門人才，以服務國家社會。為落實技職教育、創新工商科技，本校設有工程學院、商管學院、健康科技學院與航空學院，共二十個系、八個研究所，各院發展特色分別為符合台灣產業需求之工程技術、智慧電子商務、銀髮健康科技、及航空產業等。為培育具注重專業倫理、敬業精神、人文關懷的科技與專業人才，本校特別著重公民力、就業力與創造力等基本素養能力之養成，搭配相關課程訂定專業能力及社會能力等所需核心能力，建立優質特色課程，並結合現今行動上網趨勢，推動全面課程數位化，以提升學習成效。藉由各項教學資源運用、產學鏈結、以及畢業能力檢核，期使學生畢業後能在工程、商業、管理、健康生活、航空等領域發光發熱，全面提昇學生就業競爭力。
106,私立,技專校院,1062,僑光科技大學,2646,1,2499,...,94.48,僑光科技大學招生特色： 1.環境優越便利 2.深耕技職教育 3.創造就業優勢 4.畢業前即就業、就業百分百 5.強調特色教學、點亮技職光芒
106,私立,技專校院,1063,廣亞學校財團法人育達科技大學,1819,5,1079,...,59.48,本校辦學為培養務實致用的應用服務管理人才，積極與地方產業合作，推動學生專業實習，落實技職教育特色。設有三個學院：(一)經營管理學院下設資訊管理系、行銷與流通管理系、物聯網工程與應用學士位學程；(二)人文社會學院下設應用日語系、幼兒保育系、健康照顧社會工作系；(三)休閒創意學院下設休閒事業管理系、休閒運動管理系、餐旅經營系、多媒體與遊戲設計系、時尚造型設計系。本校推動一證多照，開設跨領域學分學程課程、證照輔導課程及輔導考照措施，使學生畢業擁有大學文憑外且擁有多張證照。本校與知名優質企業產學合作，推動學生全面實習無縫接軌就業，畢業生就業率達84.08%，每年選送百位以上學生進行海外實習、國際競賽、參訪研修或志工服務，拓展學生國際視野。另設資訊管理系、行銷與流通管理系及休閒事業管理系三個碩士班，整合政府政策與地方產業特色，以觀光休閒、文化創意及健康生活三大主軸規劃教學內涵，豐富產業與學術視野。
106,私立,技專校院,1064,美和學校財團法人美和科技大學,3343,0,2396,...,71.67,一、培養學生新五倫好品德與五靜好習慣二、推動三明治教學與適性教學三、推動特色翻轉課程四、推廣近身典範課程五、辦理學生海外實習六、開設英語、越語及日語等外語課程供學生選修以提升其就業競爭力七、辦理越南境外專班
106,私立,技專校院,1065,吳鳳科技大學,2245,0,1399,...,62.32,本校校區廣闊，佔地18公頃，比鄰中正大學、嘉義大學、南華大學、嘉義縣文化中心，文風鼎盛，人才薈萃，為嘉南地區唯一一所以發展實務應用科技為導向的最高學府。為達成資源共享，提升教學品質與人文素養，本校已與彰雲嘉地區大學院校組成校際聯盟，共同舉辦學術、藝文及體育交流活動，增進地區師生的交流互動，帶動整體文教水準的提升。 本校目前設有光機電暨材料、消防、應用數位媒體及餐旅管理研究所；大學部設有機械工程、電機工程、消防、安全科技與管理、資訊工程、資訊管理、行銷與流通管理、應用遊戲、應用數位媒體、餐旅管理、觀光休閒管理、應用日語、休閒遊憩與運動管理、美容美髮造型設計、幼兒保育、長期照護等16個系（組），招收四技學生；進修部及進修學院設有大學部和專科部，提供學生在職進修管道。 本校教學設施完善，運動休閒設備新穎，讓在這裡的每一個學生，都能有一個適宜的環境，得以持續的學習、成長與發展。
106,私立,技專校院,1066,環球學校財團法人環球科技大學,2355,1,1504,...,63.89,強化結合與高中、職校以策略聯盟方式進行實質資源共享，增加學生對本校辦學績效的認識，並藉由此方式行銷學校特色。另外，針對有升學意願但仍須兼顧經濟壓力之學生，本校持續加強推動契合式產業班，透過與產業界合作方式，強化與高中、職校輔導室、實習處或建教合作單位聯繫；針對各機關、學會、工會或縣內產業等團體各合作單位實際需求，規劃課程並開設產學班，提供人才培育機制，提升職場人員競爭能力，並拓展新生來源。最後加強對於社會弱勢族群提供進修的機會，依據實際需求開設相關課程，以提升職場競爭能力為目標。
